PET,Speed ,Class
0.9,41,0
0.56,37,0
0.62,31,0
0.63,33,0
0.68,39,0
0.77,45,0
0.82,34,0
0.84,44,0
0.88,37,0
0.92,35,0
0.96,32,0
0.97,38,0
0.99,38,0
1,33,0
1,46,0
1,51,0
1.02,29,0
1.69,32,0
1.91,32,0
1.99,36,0
2.12,20,0
1.63,37,0
1.63,37,0
1.67,36,0
1.68,29,0
1.04,32,0
1.08,42,0
1.28,34,0
1.34,44,0
1.45,32,0
1.03,32,0
1.03,52,0
1.06,33,0
1.08,44,0
1.09,48,0
1.11,35,0
1.14,24,0
1.22,37,0
1.24,35,0
1.24,42,0
1.24,37,0
1.25,51,0
1.27,33,0
1.27,38,0
1.27,36,0
1.47,19,0
0.78,30,2
1,33,2
1.71,43,2
1.81,37,2
1.84,45,2
1.89,45,2
1.9,30,2
1.9,28,2
1.91,36,2
2,35,2
2,39,2
2,43,2
2.02,42,2
2.04,43,2
2.14,41,2
2.15,36,2
2.63,32,2
2.77,41,2
2.86,35,2
2.93,38,2
2.98,28,2
3.02,33,2
3.2,34,2
1.66,38,2
1.8,36,2
1.91,26,2
1.94,46,2
2.05,42,2
2.15,39,2
2.15,36,2
2.18,39,2
2.24,40,2
2.26,45,2
2.3,40,2
2.32,47,2
2.4,44,2
2.45,37,2
2.56,44,2
2.58,35,2
2.61,49,2
2.66,35,2
2.67,43,2
2.69,55,2
3,38,2
3,39,2
3.1,46,2
3.14,41,2
3.24,44,2
3.28,40,2
3.31,51,2
3.33,40,2
3.37,38,2
3.4,42,2
3.42,43,2
3.74,44,2
3.92,42,2
3.93,43,2
3.94,42,2
4.19,48,2
4.78,15,2
4.87,14,2
4.97,40,2
5.51,40,2
6.1,38,2
7.54,40,2
1.04,31,2
1.23,40,2
1.26,46,2
1.5,36,2
0.79,45,1
0.8,42,1
0.84,43,1
0.86,41,1
0.87,40,1
0.93,42,1
0.88,27,1
1.69,52,1
1.77,35,1
2.09,29,1
4.03,33,1
1.62,21,1
1.65,21,1
1.8,23,1
1.87,12,1
5.33,15,1
5.5,10,1
1.32,38,1
1.34,42,1
1.36,26,1
1.37,38,1
1.38,38,1
1.38,37,1
1.43,37,1
1.46,39,1
1.46,33,1
1.47,39,1
1.5,35,1
1.5,43,1
1.53,28,1
1.54,44,1
1.54,39,1
1.59,41,1
1.61,40,1
1.18,32,1
1.2,38,1
1.2,36,1
1.23,43,1
1.24,33,1
1.28,34,1
1.28,31,1
1.49,41,1
1.57,31,1
1.14,21,1
1.16,22,1
1.28,25,1
1.35,22,1
1.42,29,1
1.43,20,1
1.53,24,1
1.54,19,1
